,num_decks,running_count,lower,avg,upper
0,8,0,-156.0,-233.99999999999997,-467.99999999999994
1,8,1,-136.0,-203.99999999999997,-407.99999999999994
2,8,2,-152.0,-227.99999999999997,-455.99999999999994
3,8,3,-164.0,-245.99999999999997,-491.99999999999994
4,8,4,-188.0,-282.0,-564.0
5,8,5,-192.0,-288.0,-576.0
6,8,6,-188.0,-282.0,-564.0
7,8,7,-168.0,-251.99999999999997,-503.99999999999994
8,8,8,-148.0,-221.99999999999997,-443.99999999999994
9,8,9,-146.0,-218.99999999999997,-437.99999999999994
10,8,10,-134.0,-200.99999999999997,-401.99999999999994
11,8,11,-136.0,-203.99999999999997,-407.99999999999994
12,8,12,-108.0,-162.0,-324.0
13,8,13,-122.0,-183.0,-366.0
14,8,14,-140.0,-209.99999999999997,-419.99999999999994
15,8,15,-110.0,-165.0,-330.0
16,8,16,-150.0,-224.99999999999997,-449.99999999999994
17,8,17,-130.0,-195.0,-390.0
18,8,18,-134.0,-200.99999999999997,-401.99999999999994
19,8,19,-150.0,-224.99999999999997,-449.99999999999994
20,8,20,-154.0,-230.99999999999997,-461.99999999999994
21,8,21,-128.0,-192.0,-384.0
22,8,22,-150.0,-224.99999999999997,-449.99999999999994
23,8,23,-178.0,-267.0,-534.0
24,8,24,-124.0,-186.0,-372.0
25,8,25,-90.0,-135.0,-270.0
26,8,26,-66.0,-98.99999999999999,-197.99999999999997
27,8,27,-192.0,-288.0,-576.0
28,8,28,-76.0,-113.99999999999999,-227.99999999999997
29,8,29,-126.0,-189.0,-378.0
30,8,30,-144.0,-215.99999999999997,-431.99999999999994
31,8,31,-162.0,-242.99999999999997,-485.99999999999994
32,8,32,-132.0,-197.99999999999997,-395.99999999999994
33,8,33,-104.0,-156.0,-312.0
34,8,34,-168.0,-251.99999999999997,-503.99999999999994
35,8,35,-130.0,-195.0,-390.0
36,8,36,-134.0,-200.99999999999997,-401.99999999999994
37,8,37,-162.0,-242.99999999999997,-485.99999999999994
38,8,38,-160.0,-239.99999999999997,-479.99999999999994
39,8,39,-144.0,-215.99999999999997,-431.99999999999994
40,8,40,-84.0,-125.99999999999999,-251.99999999999997
41,8,41,-158.0,-236.99999999999997,-473.99999999999994
42,8,42,-144.0,-215.99999999999997,-431.99999999999994
43,8,43,-118.0,-177.0,-354.0
44,8,44,-54.0,-81.0,-162.0
45,8,45,-84.0,-125.99999999999999,-251.99999999999997
46,8,46,-136.0,-203.99999999999997,-407.99999999999994
47,8,47,-150.0,-224.99999999999997,-449.99999999999994
48,8,48,-158.0,-236.99999999999997,-473.99999999999994
