,num_decks_initial,running_count,num_wins
0,8,0,9
1,8,1,6
2,8,2,4
3,8,3,4
4,8,4,9
5,8,5,8
6,8,6,13
7,8,7,9
8,8,8,7
9,8,9,8
10,8,10,6
11,8,11,4
12,8,12,9
13,8,13,10
14,8,14,6
15,8,15,9
16,8,16,7
17,8,17,5
18,8,18,8
19,8,19,8
20,8,20,9
21,8,21,11
22,8,22,4
23,8,23,7
24,8,24,5
25,8,25,8
26,8,26,9
27,8,27,8
28,8,28,15
29,8,29,10
30,8,30,12
31,8,31,14
32,8,32,9
33,8,33,13
34,8,34,12
35,8,35,11
36,8,36,8
37,8,37,12
38,8,38,8
39,8,39,6
40,8,40,7
41,8,41,9
42,8,42,10
43,8,43,13
44,8,44,17
45,8,45,9
46,8,46,7
47,8,47,6
48,8,48,8
49,8,49,16
50,8,50,9
51,8,51,15
52,8,52,18
53,8,53,13
54,8,54,14
55,8,55,13
56,8,56,13
57,8,57,16
58,8,58,16
59,8,59,11
60,8,60,12
61,8,61,13
62,8,62,14
63,8,63,14
64,8,64,14
65,8,65,12
66,8,66,19
67,8,67,8
68,8,68,12
69,8,69,15
70,8,70,12
71,8,71,11
72,8,72,14
73,8,73,14
74,8,74,21
75,8,75,17
76,8,76,17
77,8,77,12
78,8,78,8
79,8,79,14
80,8,80,16
81,8,81,16
82,8,82,11
83,8,83,23
84,8,84,14
85,8,85,20
86,8,86,17
87,8,87,18
88,8,88,24
89,8,89,14
90,8,90,16
91,8,91,14
92,8,92,13
93,8,93,22
94,8,94,17
95,8,95,14
96,8,96,11
97,8,97,15
98,8,98,17
99,8,99,20
100,8,100,17
101,8,101,26
102,8,102,24
103,8,103,15
104,8,104,15
105,8,105,26
106,8,106,27
107,8,107,17
108,8,108,33
109,8,109,32
110,8,110,29
111,8,111,18
112,8,112,20
113,8,113,26
114,8,114,24
115,8,115,20
116,8,116,28
117,8,117,24
118,8,118,23
119,8,119,35
120,8,120,20
121,8,121,27
122,8,122,22
123,8,123,21
124,8,124,21
125,8,125,22
126,8,126,29
127,8,127,34
128,8,128,25
129,8,129,25
130,8,130,34
131,8,131,27
132,8,132,31
133,8,133,40
134,8,134,32
135,8,135,34
136,8,136,39
137,8,137,30
138,8,138,29
139,8,139,24
140,8,140,33
141,8,141,49
142,8,142,40
143,8,143,26
144,8,144,35
145,8,145,29
146,8,146,39
147,8,147,40
148,8,148,41
149,8,149,32
150,8,150,29
151,8,151,27
152,8,152,44
153,8,153,39
154,8,154,34
155,8,155,41
156,8,156,44
157,8,157,43
158,8,158,46
159,8,159,44
160,7,0,7
161,7,1,5
162,7,2,10
163,7,3,9
164,7,4,8
165,7,5,6
166,7,6,4
167,7,7,7
168,7,8,8
169,7,9,6
170,7,10,13
171,7,11,6
172,7,12,10
173,7,13,7
174,7,14,5
175,7,15,13
176,7,16,5
177,7,17,5
178,7,18,10
179,7,19,7
180,7,20,4
181,7,21,9
182,7,22,8
183,7,23,10
184,7,24,12
185,7,25,12
186,7,26,11
187,7,27,8
188,7,28,5
189,7,29,12
190,7,30,9
191,7,31,12
192,7,32,12
193,7,33,16
194,7,34,17
195,7,35,8
196,7,36,8
197,7,37,9
198,7,38,13
199,7,39,10
200,7,40,15
201,7,41,13
202,7,42,14
203,7,43,9
204,7,44,8
205,7,45,9
206,7,46,9
207,7,47,8
208,7,48,13
209,7,49,16
210,7,50,10
211,7,51,7
212,7,52,12
213,7,53,17
214,7,54,17
215,7,55,10
216,7,56,16
217,7,57,11
218,7,58,13
219,7,59,9
220,7,60,9
221,7,61,11
222,7,62,11
223,7,63,10
224,7,64,15
225,7,65,18
226,7,66,16
227,7,67,12
228,7,68,15
229,7,69,22
230,7,70,13
231,7,71,12
232,7,72,16
233,7,73,17
234,7,74,23
235,7,75,12
236,7,76,17
237,7,77,18
238,7,78,16
239,7,79,13
240,7,80,20
241,7,81,30
242,7,82,18
243,7,83,20
244,7,84,18
245,7,85,21
246,7,86,23
247,7,87,19
248,7,88,22
249,7,89,24
250,7,90,16
251,7,91,23
252,7,92,15
253,7,93,20
254,7,94,22
255,7,95,19
256,7,96,31
257,7,97,29
258,7,98,16
259,7,99,18
260,7,100,34
261,7,101,15
262,7,102,22
263,7,103,26
264,7,104,30
265,7,105,30
266,7,106,28
267,7,107,32
268,7,108,30
269,7,109,29
270,7,110,26
271,7,111,28
272,7,112,29
273,7,113,30
274,7,114,27
275,7,115,33
276,7,116,25
277,7,117,44
278,7,118,35
279,7,119,44
280,7,120,30
281,7,121,40
282,7,122,45
283,7,123,34
284,7,124,36
285,7,125,40
