,Card,Value
0,ace_of_spades,-1
1,ace_of_hearts,-1
2,ace_of_clubs,-1
3,ace_of_diamonds,-1
4,king_of_spades,-1
5,king_of_hearts,-1
6,king_of_clubs,-1
7,king_of_diamonds,-1
8,queen_of_spades,-1
9,queen_of_hearts,-1
10,queen_of_clubs,-1
11,queen_of_diamonds,-1
12,jack_of_spades,-1
13,jack_of_hearts,-1
14,jack_of_clubs,-1
15,jack_of_diamonds,-1
16,ten_of_spades,-1
17,ten_of_hearts,-1
18,ten_of_clubs,-1
19,ten_of_diamonds,-1
20,nine_of_spades,0
21,nine_of_hearts,0
22,nine_of_clubs,0
23,nine_of_diamonds,0
24,eight_of_spades,0
25,eight_of_hearts,0
26,eight_of_clubs,0
27,eight_of_diamonds,0
28,seven_of_spades,0
29,seven_of_hearts,0
30,seven_of_clubs,0
31,seven_of_diamonds,0
32,six_of_spades,1
33,six_of_hearts,1
34,six_of_clubs,1
35,six_of_diamonds,1
36,five_of_spades,1
37,five_of_hearts,1
38,five_of_clubs,1
39,five_of_diamonds,1
40,four_of_spades,1
41,four_of_hearts,1
42,four_of_clubs,1
43,four_of_diamonds,1
44,three_of_spades,1
45,three_of_hearts,1
46,three_of_clubs,1
47,three_of_diamonds,1
48,two_of_spades,1
49,two_of_hearts,1
50,two_of_clubs,1
51,two_of_diamonds,1
